VIR-001 | 虛擬世界卡牌 001 | unit | Mana:0 | Extra:False
VIR-062 | 虛擬世界卡牌 062 | unit | Mana:0 | Extra:False
VIR-063 | 虛擬世界卡牌 063 | unit | Mana:0 | Extra:False
VIR-064 | 虛擬世界卡牌 064 | unit | Mana:0 | Extra:False
VIR-065 | 虛擬世界卡牌 065 | unit | Mana:0 | Extra:False
VIR-066 | 虛擬世界卡牌 066 | unit | Mana:0 | Extra:False
VIR-067 | 虛擬世界卡牌 067 | unit | Mana:0 | Extra:False
VIR-068 | 虛擬世界卡牌 068 | unit | Mana:0 | Extra:False
VIR-069 | 虛擬世界卡牌 069 | unit | Mana:0 | Extra:False
VIR-070 | 虛擬世界卡牌 070 | unit | Mana:0 | Extra:False
VIR-071 | 虛擬世界卡牌 071 | unit | Mana:0 | Extra:False
VIR-072 | 虛擬世界卡牌 072 | unit | Mana:0 | Extra:False
VIR-073 | 虛擬世界卡牌 073 | unit | Mana:0 | Extra:False
VIR-074 | 虛擬世界卡牌 074 | unit | Mana:0 | Extra:False
VIR-075 | 虛擬世界卡牌 075 | unit | Mana:0 | Extra:False
VIR-076 | 虛擬世界卡牌 076 | unit | Mana:0 | Extra:False
